Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2025-01-01T00:00:00.000000,Great Britain,Great Britain,GB,45.04,75.15,88.18,72.4,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-01T00:05:00.000000,Great Britain,Great Britain,GB,45.11,75.22,88.17,72.4, nationalgrideso.com; elexon.co.uk,false,""
2025-01-01T00:10:00.000000,Great Britain,Great Britain,GB,45.11,75.23,88.17,72.4,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-01T00:15:00.000000,Great Britain,Great Britain,GB,45.1,75.22,88.16,72.35, nationalgrideso.com; elexon.co.uk,false,""
2025-01-01T00:20:00.000000,Great Britain,Great Britain,GB,45.1,75.23,88.16,72.35, nationalgrideso.com; elexon.co.uk,false,""
2025-01-01T00:25:00.000000,Great Britain,Great Britain,GB,45.11,75.23,88.16,72.35, nationalgrideso.com; elexon.co.uk,false,""
2025-01-01T00:30:00.000000,Great Britain,Great Britain,GB,49.81,82.46,87.07,71.29,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-01T00:35:00.000000,Great Britain,Great Britain,GB,49.8,82.44,87.07,71.29, nationalgrideso.com; elexon.co.uk,false,""
2025-01-01T00:40:00.000000,Great Britain,Great Britain,GB,49.8,82.44,87.07,71.29,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-01T00:45:00.000000,Great Britain,Great Britain,GB,49.79,82.43,87.07,71.29,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-01T00:50:00.000000,Great Britain,Great Britain,GB,49.78,82.41,87.08,71.29,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-01T00:55:00.000000,Great Britain,Great Britain,GB,49.76,82.39,87.08,71.29, nationalgrideso.com; elexon.co.uk,false,""
