Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2025-01-01T00:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,208.9,291.46,46.6,42.16,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T00:15:00.000000,Northern Ireland,Northern Ireland,GB-NIR,221.05,307.5,43.52,39.9,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T00:30:00.000000,Northern Ireland,Northern Ireland,GB-NIR,236.34,327.85,39.66,37.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T00:45:00.000000,Northern Ireland,Northern Ireland,GB-NIR,243.23,336.92,37.9,35.79,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T01:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,221.83,308.4,43.37,41.4,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T01:15:00.000000,Northern Ireland,Northern Ireland,GB-NIR,221.82,308.39,43.37,41.4,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T01:30:00.000000,Northern Ireland,Northern Ireland,GB-NIR,221.58,308.13,43.42,41.38,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T01:45:00.000000,Northern Ireland,Northern Ireland,GB-NIR,221.58,308.13,43.42,41.38,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T02:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,225.49,313.3,42.43,40.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T02:15:00.000000,Northern Ireland,Northern Ireland,GB-NIR,225.49,313.3,42.43,40.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T02:30:00.000000,Northern Ireland,Northern Ireland,GB-NIR,225.06,312.61,42.53,40.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T02:45:00.000000,Northern Ireland,Northern Ireland,GB-NIR,225.06,312.61,42.53,40.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T03:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,245.82,340.2,37.25,34.94,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T03:15:00.000000,Northern Ireland,Northern Ireland,GB-NIR,245.82,340.2,37.25,34.94,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T03:30:00.000000,Northern Ireland,Northern Ireland,GB-NIR,245.57,339.87,37.3,34.97,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T03:45:00.000000,Northern Ireland,Northern Ireland,GB-NIR,245.57,339.87,37.3,34.97,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T04:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,247.08,341.85,36.94,34.59,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T04:15:00.000000,Northern Ireland,Northern Ireland,GB-NIR,247.08,341.85,36.94,34.59,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T04:30:00.000000,Northern Ireland,Northern Ireland,GB-NIR,247.0,341.79,36.98,34.6,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T04:45:00.000000,Northern Ireland,Northern Ireland,GB-NIR,247.0,341.79,36.98,34.6,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T05:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,251.23,347.47,35.88,33.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T05:15:00.000000,Northern Ireland,Northern Ireland,GB-NIR,251.23,347.47,35.88,33.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T05:30:00.000000,Northern Ireland,Northern Ireland,GB-NIR,250.88,347.07,35.95,33.49,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T05:45:00.000000,Northern Ireland,Northern Ireland,GB-NIR,250.88,347.07,35.95,33.49,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T06:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,234.62,325.29,40.12,37.87,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T06:15:00.000000,Northern Ireland,Northern Ireland,GB-NIR,234.62,325.29,40.12,37.87,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T06:30:00.000000,Northern Ireland,Northern Ireland,GB-NIR,234.45,325.06,40.15,37.88,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T06:45:00.000000,Northern Ireland,Northern Ireland,GB-NIR,234.45,325.06,40.15,37.88,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T07:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,226.05,313.87,42.3,40.04,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T07:15:00.000000,Northern Ireland,Northern Ireland,GB-NIR,226.04,313.87,42.3,40.04,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T07:30:00.000000,Northern Ireland,Northern Ireland,GB-NIR,225.98,313.8,42.31,40.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T07:45:00.000000,Northern Ireland,Northern Ireland,GB-NIR,225.99,313.81,42.31,40.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T08:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,228.03,316.53,41.8,39.48,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T08:15:00.000000,Northern Ireland,Northern Ireland,GB-NIR,228.03,316.53,41.8,39.48,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T08:30:00.000000,Northern Ireland,Northern Ireland,GB-NIR,222.07,308.57,43.41,40.59,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T08:45:00.000000,Northern Ireland,Northern Ireland,GB-NIR,208.64,290.8,46.88,42.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T09:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,201.18,281.15,48.74,44.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
