Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2025-01-01T00:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,226.41,314.64,42.16,38.9,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T01:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,221.7,308.26,43.4,41.39,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T02:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,225.27,312.95,42.48,40.39,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T03:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,245.69,340.04,37.28,34.96,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T04:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,247.04,341.82,36.96,34.59,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T05:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,251.06,347.27,35.92,33.46,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T06:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,234.53,325.18,40.14,37.87,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T07:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,226.01,313.84,42.3,40.03,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T08:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,221.33,307.62,43.57,40.68,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T09:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,201.05,280.99,48.78,44.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T10:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,191.66,268.57,51.27,46.42,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T11:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,181.69,256.22,53.82,46.65,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T12:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,191.3,269.01,51.32,44.74,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T13:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,186.5,263.0,52.54,45.31,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T14:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,181.55,256.74,53.82,47.18,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T15:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,186.62,264.75,52.45,45.46,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T16:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,201.61,284.72,48.75,41.58,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T17:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,220.01,309.02,44.12,36.76,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T18:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,225.4,316.44,42.75,34.87,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T19:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,224.19,315.15,42.91,34.79,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T20:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,215.77,304.29,44.94,36.52,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T21:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,218.8,308.69,44.31,35.27,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T22:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,209.75,297.3,46.6,37.01,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T23:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,220.16,310.64,43.97,35.56,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-02T00:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,231.63,325.06,41.12,34.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-02T01:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,222.39,312.86,43.51,36.09,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-02T02:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,216.4,305.79,45.09,35.7,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-02T03:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,219.22,309.56,44.35,35.61,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-02T04:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,220.63,311.04,43.84,35.43,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-02T05:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,229.25,321.37,41.63,33.26,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-02T06:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,232.77,325.83,40.64,32.03,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-02T07:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,253.65,352.34,35.21,28.9,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-02T08:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,247.2,343.54,36.64,30.11,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-02T09:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,240.46,334.46,38.37,32.18,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-02T10:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,245.22,341.35,37.0,31.04,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-02T11:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,251.55,350.07,35.37,29.62,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-02T12:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,249.36,347.4,35.98,30.13,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-02T13:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,252.12,350.87,35.21,29.38,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-02T14:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,253.22,351.88,34.88,29.12,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-02T15:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,250.5,347.53,35.65,29.95,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-02T16:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,254.14,352.0,34.78,28.9,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-02T17:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,258.54,357.49,33.84,28.13,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-02T18:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,258.94,358.35,33.56,27.69,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-02T19:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,254.06,351.8,34.74,28.81,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-02T20:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,246.77,342.38,36.72,30.48,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-02T21:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,239.21,332.82,38.78,32.08,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-02T22:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,226.88,316.99,42.01,35.03,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-02T23:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,203.22,286.04,48.14,40.94,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-03T00:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,200.47,283.02,48.93,40.85,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-03T01:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,209.47,295.08,46.67,37.87,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-03T02:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,210.87,296.59,46.37,39.18,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-03T03:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,207.85,292.43,47.01,39.83,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-03T04:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,209.46,294.43,46.58,40.04,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-03T05:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,214.11,300.43,45.38,40.32,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-03T06:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,203.69,286.21,48.02,44.33,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-03T07:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,189.35,267.94,51.36,46.6,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-03T08:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,203.21,285.68,47.78,42.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-03T09:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,212.26,297.62,45.53,40.61,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-03T10:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,219.18,307.27,43.78,38.82,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-03T11:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,224.74,315.03,42.34,37.28,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-03T12:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,225.67,316.29,42.09,36.99,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-03T13:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,228.54,319.74,41.38,36.08,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-03T14:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,240.25,334.79,38.31,32.63,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-03T15:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,252.22,350.03,35.08,29.24,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-03T16:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,259.94,359.84,33.17,27.41,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-03T17:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,260.09,359.38,33.47,28.07,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-03T18:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,260.18,359.48,33.47,27.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-03T19:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,252.85,350.16,35.13,29.48,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-03T20:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,252.64,350.23,34.96,29.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-03T21:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,261.21,361.83,32.68,26.32,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-03T22:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,256.14,355.61,34.03,26.98,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-03T23:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,239.76,334.61,38.4,29.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-04T00:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,238.13,332.19,38.92,31.53,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-04T01:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,254.55,352.55,34.92,31.85,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-04T02:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,248.86,345.15,36.35,32.96,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-04T03:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,252.06,349.44,35.55,32.27,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-04T04:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,249.71,346.25,36.12,33.03,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-04T05:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,261.62,362.06,33.03,30.2,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-04T06:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,278.51,384.44,28.69,26.12,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-04T07:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,271.63,376.12,30.15,25.55,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-04T08:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,269.68,373.82,30.38,24.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-04T09:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,273.19,378.15,29.47,23.12,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-04T10:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,276.82,382.88,28.62,22.57,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-04T11:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,285.9,394.96,26.3,20.75,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-04T12:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,289.25,399.39,25.52,19.9,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-04T13:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,296.32,408.5,23.72,17.97,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-04T14:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,289.15,399.02,25.43,18.73,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-04T15:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,288.03,397.43,25.67,18.87,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-04T16:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,288.21,397.44,25.8,19.43,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-04T17:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,287.1,395.78,26.36,20.43,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-04T18:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,276.5,381.88,28.93,22.91,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-04T19:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,270.93,374.86,30.17,24.47,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-04T20:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,266.53,368.94,31.46,26.36,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-04T21:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,257.34,356.95,33.97,29.25,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-04T22:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,236.59,330.25,39.36,33.23,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-04T23:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,212.87,300.36,45.55,36.83,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-05T00:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,227.94,319.53,41.85,35.35,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-05T01:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,259.3,358.38,33.87,32.82,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-05T02:00:00.000000,Northern Ireland,Northern Ireland,GB-NIR,217.7,305.54,44.5,39.3,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
