Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2025-01-01T00:00:00.000000,Ireland,Ireland,IE,125.6,165.37,75.77,73.84,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T00:05:00.000000,Ireland,Ireland,IE,125.61,165.37,75.77,73.84,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T00:10:00.000000,Ireland,Ireland,IE,125.61,165.38,75.77,73.84,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T00:15:00.000000,Ireland,Ireland,IE,125.61,165.37,75.77,73.83,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T00:20:00.000000,Ireland,Ireland,IE,125.61,165.38,75.77,73.83,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T00:25:00.000000,Ireland,Ireland,IE,125.61,165.38,75.77,73.83,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T00:30:00.000000,Ireland,Ireland,IE,128.71,169.03,75.25,73.78,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T00:35:00.000000,Ireland,Ireland,IE,128.71,169.03,75.25,73.78,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T00:40:00.000000,Ireland,Ireland,IE,128.71,169.03,75.25,73.78,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T00:45:00.000000,Ireland,Ireland,IE,128.71,169.03,75.25,73.78,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T00:50:00.000000,Ireland,Ireland,IE,128.71,169.03,75.25,73.78,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T00:55:00.000000,Ireland,Ireland,IE,128.71,169.03,75.25,73.78,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T01:00:00.000000,Ireland,Ireland,IE,125.67,165.69,75.72,73.75,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T01:05:00.000000,Ireland,Ireland,IE,125.66,165.67,75.72,73.75,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2025-01-01T01:10:00.000000,Ireland,Ireland,IE,125.66,165.67,75.72,73.76,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
